Name,Extracted_name,Value,Raw_unit,Type
Polyvinyl acetate,"[{'C': '4.0', 'H': '6.0', 'O': '2.0'}]",1E-12,S/cm,None
Li3x La2 / 3−x TiO3,"[{'Li': '3*x', 'La': '2/3-x', 'Ti': '1.0', 'O': '3.0'}]",0.001,Scm−1,None
Phosphoric acid,"[{'H': '3.0', 'P': '1.0', 'O': '4.0'}]",0.01,Scm−1,None
LixMnO2,"[{'Li': 'x', 'Mn': '1.0', 'O': '2.0'}]",0.001,S/cm,None
V2O5–P2O5,"[{'V': '2.0', 'O': '5.0'}]",0.000011,Scm−1,None
LiClO4,"[{'Li': '1.0', 'Cl': '1.0', 'O': '4.0'}]",6.7E-7,Scm−1,None
Al-doped LiFePO4 / carbon,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",0.08,Scm−1,None
CoSnO3–NC-120,"[{'Co': '1.0', 'Sn': '1.0', 'O': '3.0'}]",0.0075,Scm−1,None
Potassium hydroxide,"[{'K': '1.0', 'O': '1.0', 'H': '1.0'}]",0.1,Scm−1,None
P2S5,"[{'P': '2.0', 'S': '5.0'}]",0.01,Scm−1,None
Titanate,"[{'Ti': '1.0', 'O': '3.0'}]",5.5E-6,Scm−1,None
Li3.82Mg0.08Al0.14Ti4.85O11.9,"[{'Li': '3.82', 'Mg': '0.08', 'Al': '0.14', 'Ti': '4.85', 'O': '11.9'}]",3.7E-9,Scm−1,None
Na0.44MnO2,"[{'Na': '0.44', 'Mn': '1.0', 'O': '2.0'}]",0.000077,Scm−1,None
La9Ba(SiO4)6O2.5,"[{'Si': '6.0', 'O': '26.5', 'La': '9.0', 'Ba': '1.0'}]",0.05,Scm−1,None
Li7-xLa3Zr2-xTaxO12,"[{'Li': '7-x', 'La': '3.0', 'Zr': '2-x', 'Ta': 'x', 'O': '12.0'}]",1E-9,S/cm,None
0.16LiNO3–0.24KNO3,"[{'Li': '1.0', 'N': '1.0', 'O': '3.0'}]",0.0805,Scm−1,None
Li10.42Ge1.5P1.5Cl0.08O11.92,"[{'Li': '10.42', 'Ge': '1.5', 'P': '1.5', 'Cl': '0.08', 'O': '11.92'}]",1E-6,Scm−1,None
Li7La3Zr2O12,"[{'Li': '7.0', 'La': '3.0', 'Zr': '2.0', 'O': '12.0'}]",1E-6,Scm−1,None
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",0.000035,Scm−1,None
Polypyrrole,"[{'C': '4.0', 'H': '3.0', 'N': '1.0'}]",0.01,Scm−1,None
LiFePO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",0.000035,Scm−1,None
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",2.4E-7,Scm−1,None
Al-doped Li7La3Zr2O12,"[{'Li': '7.0', 'La': '3.0', 'Zr': '2.0', 'O': '12.0'}]",2.85E-6,Scm−1,None
Li7La3Zr2O12,"[{'Li': '7.0', 'La': '3.0', 'Zr': '2.0', 'O': '12.0'}]",0.0008,S/cm,None
Li1+xAlxGe2−x(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': 'x+1', 'Al': 'x', 'Ge': '2-x'}]",0.0005,Scm−1,None
PVAc,"[{'P': '1.0', 'V': '1.0', 'Ac': '1.0'}]",0.001,S/cm,None
NC-Li2B12H12,"[{'N': '1.0', 'C': '1.0'}]",1E-6,Scm−1,None
Sr1.4La0.6MnO4+x,"[{'Sr': '1.4', 'La': '0.6', 'Mn': '1.0', 'O': '4.0'}]",5.7,Scm−1,None
