Name,Extracted_name,Value,Raw_unit,Type,Molecular_weight
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",0.331,V,Cath,157.755
NVPF @ C,"[{'N': '1.0', 'V': '1.0', 'P': '1.0', 'F': '1.0'}, {'C': '1.0'}]",4.3,V,Cath,126.9315
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",4.7,V,Cath,182.6895
LiMnPO4,"[{'Li': '1.0', 'Mn': '1.0', 'P': '1.0', 'O': '4.0'}]",4.0,V,Cath,156.848
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",1.5,V,Anod,459.08299999999997
LiAl0.1C0.1Mn1.8O4,"[{'Li': '1.0', 'Al': '0.1', 'C': '0.1', 'Mn': '1.8', 'O': '4.0'}]",4.8,V,Cath,173.7237
Li1.2Ni0.2Mn0.6O2,"[{'Li': '1.2', 'Ni': '0.2', 'Mn': '0.6', 'O': '2.0'}]",4.5,V,Cath,85.0274
V2O5,"[{'V': '2.0', 'O': '5.0'}]",2.0,Vvs.Li,Cath,181.878
Sn / Na2Sn(PO4)2,"[{'Sn': '1.0'}, {'P': '2.0', 'O': '8.0', 'Na': '2.0', 'Sn': '1.0'}]",0.67,V,Anod,473.34
Sn(MoO4)2 / C,"[{'Mo': '2.0', 'O': '8.0', 'Sn': '1.0'}, {'C': '1.0'}]",3.0,V,Anod,450.613
Na0.8Li0.1Ni0.31Mn0.62O2,"[{'Na': '0.8', 'Li': '0.1', 'Ni': '0.31', 'Mn': '0.62', 'O': '2.0'}]",4.4,V,Cath,103.34039
Co @ PNCS-2,"[{'Co': '1.0'}, {'P': '1.0', 'N': '1.0', 'C': '1.0', 'S': '1.0'}]",0.17,V,Cath,147.985
Na-doped Li 3 V 2 ( PO 4 ) 3,"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}]",3.0,V,Cath,407.61299999999994
NiCo2O4,"[{'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}]",4.5,V,Cath,240.555
LiNi0.6Co0.2Mn0.2O2,"[{'Li': '1.0', 'Ni': '0.6', 'Co': '0.2', 'Mn': '0.2', 'O': '2.0'}]",4.6,V,Cath,96.928
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",4.1,V,Cath,97.87100000000001
BP-Al,"[{'B': '1.0', 'P': '1.0'}]",2.3,V,Cath,41.784
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",4.3,V,Cath,97.87100000000001
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",3.5,V,Anod,459.08299999999997
CuS,"[{'Cu': '1.0', 'S': '1.0'}]",1.1,V,Cath,95.606
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",0.6,V vs. Li,Anod,56.095
NiS / NHCS,"[{'Ni': '1.0', 'S': '1.0'}, {'N': '1.0', 'H': '1.0', 'C': '1.0', 'S': '1.0'}]",1.5,V,Cath,149.839
Ni(OH)2 / CNTs,"[{'O': '2.0', 'H': '2.0', 'Ni': '1.0'}]",0.1,mV,Cath,92.707
NaVPO4F,"[{'Na': '1.0', 'V': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}]",0.8,Vvs,Cath,187.8995
Li3V2(PO4)3 / C,"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}, {'C': '1.0'}]",3.5,V,Anod,419.62399999999997
Cu2Sb,"[{'Cu': '2.0', 'Sb': '1.0'}]",1.05,V vs. Li,Anod,248.852
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",4.5,V,Cath,97.87100000000001
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",2.7,V,Cath,157.755
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",1.55,V vs. Li,Anod,109.744
Li3V2(PO4)3 / C,"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}, {'C': '1.0'}]",4.3,V,Cath,419.62399999999997
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",2.5,V,Cath,97.87100000000001
LiMnBO3,"[{'Li': '1.0', 'Mn': '1.0', 'B': '1.0', 'O': '3.0'}]",3.0,V,Anod,120.685
Pt / C,"[{'Pt': '1.0'}, {'C': '1.0'}]",0.1,V,Anod,207.091
RuO2 @ m-BCN,"[{'Ru': '1.0', 'O': '2.0'}, {'B': '1.0', 'C': '1.0', 'N': '1.0'}]",4.2,V,Cath,169.896
SnSb,"[{'Sn': '1.0', 'Sb': '1.0'}]",2.0,V,Anod,240.47
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",4.35,V,Cath,180.812
CoSe2,"[{'Co': '1.0', 'Se': '2.0'}]",3.0,V,Anod,216.875
CoCr2O4,"[{'Co': '1.0', 'Cr': '2.0', 'O': '4.0'}]",1.2,V,Anod,226.92100000000002
GeP5 / C,"[{'Ge': '1.0', 'P': '5.0'}, {'C': '1.0'}]",0.7,V,Anod,239.511
K3V2(PO4)2F3,"[{'P': '2.0', 'O': '8.0', 'K': '3.0', 'V': '2.0', 'F': '3.0'}]",3.75,V,Cath,466.111
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",4.1,V,Cath,157.755
SeS2,"[{'Se': '1.0', 'S': '2.0'}]",0.5,V,Cath,143.091
AgCu-MG,"[{'Ag': '1.0', 'Cu': '1.0'}]",0.9,V,Cath,171.416
LiMnPO4,"[{'Li': '1.0', 'Mn': '1.0', 'P': '1.0', 'O': '4.0'}]",4.1,Vvs.Li+,Cath,156.848
MnO2,"[{'Mn': '1.0', 'O': '2.0'}]",3.0,V,Cath,86.936
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",0.5,V,Cath,97.87100000000001
CaMnO3,"[{'Ca': '1.0', 'Mn': '1.0', 'O': '3.0'}]",0.2,V,Cath,143.013
VO2(B) / Mo,"[{'B': '1.0', 'V': '1.0', 'O': '2.0'}, {'Mo': '1.0'}]",2.4,V,Cath,189.6995
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",3.0,V,Cath,97.87100000000001
Li2Na2Ti6O14,"[{'Li': '2.0', 'Na': '2.0', 'Ti': '6.0', 'O': '14.0'}]",1.36,V,Anod,571.048
LiCo0.33Mn0.33Ni0.33O2,"[{'Li': '1.0', 'Co': '0.33', 'Mn': '0.33', 'Ni': '0.33', 'O': '2.0'}]",4.5,V,Cath,95.88412000000001
Mo6S8,"[{'Mo': '6.0', 'S': '8.0'}]",1.1,V,Cath,832.1800000000001
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",1.5,VvsLi,Anod,109.744
SnS,"[{'Sn': '1.0', 'S': '1.0'}]",1.15,V,Anod,150.76999999999998
NaTi2(PO4)3 @ CNT,"[{'P': '3.0', 'O': '12.0', 'Na': '1.0', 'Ti': '2.0'}]",1.5,Vvs.Na,Anod,403.63399999999996
LiMn1.5Ni0.5O4,"[{'Li': '1.0', 'Mn': '1.5', 'Ni': '0.5', 'O': '4.0'}]",4.5,V,Cath,182.6895
Copper oxide / sulphate,"[{'Cu': '2.0', 'O': '3.0'}, {'S': '1.0', 'O': '4.0'}]",0.1,V,Cath,271.145
Li1.05Ni1 / 3Co1 / 3Mn1 / 3O2,"[{'Li': '1.05', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",2.5,V,Cath,96.8005812
K0.5MnO2,"[{'K': '0.5', 'Mn': '1.0', 'O': '2.0'}]",1.5,V,Cath,106.485
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",3.45,V,Cath,157.755
LMO / LNMO,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",4.7,V,Cath,180.812
"C @ N-C @ N,P-C","[{'C': '1.0'}, {'C': '1.0'}]",1.33,V,Cath,24.022
Na2NiFe(CN)6,"[{'C': '6.0', 'N': '6.0', 'Na': '2.0', 'Ni': '1.0', 'Fe': '1.0'}]",1.27,V,Cath,316.626
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",4.0,V,Cath,45.940000000000005
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",4.3,V,Cath,97.87100000000001
MoO3,"[{'Mo': '1.0', 'O': '3.0'}]",2.05,V,Anod,143.947
VOPO4 / C,"[{'V': '1.0', 'O': '5.0', 'P': '1.0'}, {'C': '1.0'}]",3.3,V,Cath,173.92149999999998
NVP,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}]",2.0,V,Anod,95.9225
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",0.19,mVvs.,Anod,459.08299999999997
NaMnF3,"[{'Na': '1.0', 'Mn': '1.0', 'F': '3.0'}]",3.84,V,Cath,134.922
KPB,"[{'K': '1.0', 'P': '1.0', 'B': '1.0'}]",3.66,V,Cath,80.882
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",4.5,V,Cath,157.755
LiCo1.09Mn0.91O4,"[{'Li': '1.0', 'Co': '1.09', 'Mn': '0.91', 'O': '4.0'}]",3.2,V,Cath,185.16655
Nd-doped Li3V2(PO4)3 / C,"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}, {'C': '1.0'}]",3.6,V,Cath,419.62399999999997
Co3O4,"[{'Co': '3.0', 'O': '4.0'}]",0.99,V,Anod,240.79500000000002
K0.3MnO2,"[{'K': '0.3', 'Mn': '1.0', 'O': '2.0'}]",4.0,V,Cath,98.6654
MoS2,"[{'Mo': '1.0', 'S': '2.0'}]",1.7,V,Anod,160.07
Li2.1Ru0.9Co0.1O3,"[{'Li': '2.1', 'Ru': '0.9', 'Co': '0.1', 'O': '3.0'}]",3.6,V,Cath,159.4273
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",4.3,V,Cath,180.812
LiNi1 / 3Co1 / 3Mn1 / 3O2,"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",4.6,V,Cath,96.4535812
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",1.8,Vvs.Li,Anod,79.865
FeF3,"[{'Fe': '1.0', 'F': '3.0'}]",3.0,V,Cath,112.839
