Name,Extracted_name,Value,Raw_unit,Type,Molecular_weight
NVP @ C,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}, {'C': '1.0'}]",99.0,%,Cath,107.9335
Sb(H),"[{'H': '1.0', 'Sb': '1.0'}]",65.14,%,Anod,122.768
MnO2,"[{'Mn': '1.0', 'O': '2.0'}]",38.0,%,Anod,86.936
LiTaO3âS,"[{'Li': '1.0', 'Ta': '1.0', 'O': '3.0'}]",98.2,%,Cath,235.887
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",98.0,%,Anod,79.865
Si / Ag,"[{'Si': '1.0'}, {'Ag': '1.0'}]",83.4,%,Anod,135.955
C6Li,"[{'C': '6.0', 'Li': '1.0'}]",75.0,%,Anod,79.006
LiCrO2Â·Li2MnO3,"[{'Li': '1.0', 'Cr': '1.0', 'O': '2.0'}]",60.0,%,Cath,90.934
SnO2,"[{'Sn': '1.0', 'O': '2.0'}]",62.5,%,Anod,150.708
Li2MgSnO4,"[{'Li': '2.0', 'Mg': '1.0', 'Sn': '1.0', 'O': '4.0'}]",85.0,%,Anod,220.891
Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",90.8,%,Anod,40.096000000000004
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",90.2,%,Cath,97.87100000000001
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",97.0,%,Cath,182.6895
Se @ C,"[{'Se': '1.0'}, {'C': '1.0'}]",95.0,%,Cath,90.982
Nickel sulfide,"[{'Ni': '2.0', 'S': '3.0'}]",100.0,%,Cath,213.566
CoFe2O4,"[{'Co': '1.0', 'Fe': '2.0', 'O': '4.0'}]",70.0,%,Anod,234.619
MoS2 / CNTs-S,"[{'Mo': '1.0', 'S': '2.0'}]",98.0,%,Cath,160.07
HPC / S,"[{'H': '1.0', 'P': '1.0', 'C': '1.0'}, {'S': '1.0'}]",100.0,%,Cath,76.053
LiNi0.76Mn0.14Co0.10O2,"[{'Li': '1.0', 'Ni': '0.76', 'Mn': '0.14', 'Co': '0.1', 'O': '2.0'}]",88.0,%,Cath,97.1293
Mg2Si,"[{'Mg': '2.0', 'Si': '1.0'}]",62.0,%,Anod,76.695
LiNi0.8Co0.15Al0.05O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.15', 'Al': '0.05', 'O': '2.0'}]",82.2,%,Cath,96.08145
Sb2S3,"[{'Sb': '2.0', 'S': '3.0'}]",80.0,%,Anod,339.70000000000005
CN-380,"[{'C': '1.0', 'N': '1.0'}]",12.7,%,Anod,26.018
CuFe2O4,"[{'Cu': '1.0', 'Fe': '2.0', 'O': '4.0'}]",65.0,%,Anod,239.232
Sn(MoO4)2 / C,"[{'Mo': '2.0', 'O': '8.0', 'Sn': '1.0'}, {'C': '1.0'}]",60.4,%,Anod,450.613
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",61.5,%,Cath,157.755
Ni / Si,"[{'Ni': '1.0'}, {'Si': '1.0'}]",94.6,%,Anod,86.77799999999999
Mn2O3,"[{'Mn': '2.0', 'O': '3.0'}]",66.0,%,Anod,157.873
Fe2O3,"[{'Fe': '2.0', 'O': '3.0'}]",72.0,%,Anod,159.687
Mn0.8Co0.2O,"[{'Mn': '0.8', 'Co': '0.2', 'O': '1.0'}]",72.8,%,Anod,71.736
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",86.0,%,Cath,97.87100000000001
MnO,"[{'Mn': '1.0', 'O': '1.0'}]",72.0,%,Anod,70.937
MnO2-280H,"[{'Mn': '1.0', 'O': '2.0'}]",99.9,%,Cath,86.936
SnO2,"[{'Sn': '1.0', 'O': '2.0'}]",52.4,%,Anod,150.708
CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",69.1,%,Anod,45.016000000000005
SnO2,"[{'Sn': '1.0', 'O': '2.0'}]",87.0,%,Anod,150.708
NVPC-800,"[{'N': '1.0', 'V': '1.0', 'P': '1.0', 'C': '1.0'}]",98.9,%,Cath,107.9335
LiNi0.8Co0.1Al0.1O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.1', 'Al': '0.1', 'O': '2.0'}]",89.0,%,Cath,94.4839
K0.09Ni[Fe(CN)6]0.71Â·6H2O,"[{'C': '4.26', 'N': '4.26', 'Fe': '0.71', 'K': '0.09', 'Ni': '1.0'}]",100.0,%,Cath,212.69844999999998
LiV3O8 @ GO,"[{'Li': '1.0', 'V': '3.0', 'O': '8.0'}]",100.0,%,Cath,287.7565
MoO3 / G-47,"[{'Mo': '1.0', 'O': '3.0'}]",69.5,%,Anod,143.947
MgH2 / CoO,"[{'Mg': '1.0', 'H': '2.0'}, {'Co': '1.0', 'O': '1.0'}]",100.0,%,Anod,101.25299999999999
MnO / CNF,"[{'Mn': '1.0', 'O': '1.0'}, {'C': '1.0', 'N': '1.0', 'F': '1.0'}]",99.0,%,Anod,115.953
TiO2 / graphene,"[{'Ti': '1.0', 'O': '2.0'}]",100.0,%,Anod,79.865
S / C,"[{'S': '1.0'}, {'C': '1.0'}]",100.0,%,Cath,44.071
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",99.0,%,Cath,157.755
RGO / TiO2 / Mn3O4 / Ti3C2Tx,"[{'Ti': '1.0', 'O': '2.0'}, {'Mn': '3.0', 'O': '4.0'}]",99.7,%,Anod,308.675
CoSe2,"[{'Co': '1.0', 'Se': '2.0'}]",96.0,%,Anod,216.875
Si / Ge,"[{'Si': '1.0'}, {'Ge': '1.0'}]",98.0,%,Anod,100.715
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",31.1,%,Anod,56.095
LiCrO2Â·Li2MnO3,"[{'Li': '1.0', 'Cr': '1.0', 'O': '2.0'}]",89.0,%,Cath,90.934
Ru / Ni,"[{'Ru': '1.0'}, {'Ni': '1.0'}]",95.4,%,Cath,159.76299999999998
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",98.5,%,Cath,182.6895
Sb2S3,"[{'Sb': '2.0', 'S': '3.0'}]",95.0,%,Anod,339.70000000000005
LiNi1 / 3Co1 / 3Mn1 / 3O2,"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",93.0,%,Cath,96.4535812
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",96.0,%,Cath,180.812
CuO,"[{'Cu': '1.0', 'O': '1.0'}]",99.0,%,Anod,79.545
MnO2,"[{'Mn': '1.0', 'O': '2.0'}]",96.0,%,Anod,86.936
