Compound_name,Extracted_name,Molecular_weight,Type,Energy_in_Watt_hour_per_kg
TiO2-20,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,10.1
Na1.5VPO4.8F0.7,"[{'Na': '1.5', 'V': '1.0', 'P': '1.0', 'O': '4.8', 'F': '0.7'}]",206.4943,Cath,256.0
NiS2 / C,"[{'Ni': '1.0', 'S': '2.0'}, {'C': '1.0'}]",134.824,Cath,1082.0
Ni(OH)2âCNTs,"[{'O': '2.0', 'H': '2.0', 'Ni': '1.0'}]",92.707,Anod,139.0
LiMn2O4 @ CNTs @ graphene,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,62.77
Li2S6,"[{'Li': '2.0', 'S': '6.0'}]",206.24,Cath,793.0
TiO2 / graphene,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,263.0
Li / Na,"[{'Li': '1.0'}, {'Na': '1.0'}]",29.93,Anod,1670.0
NVPF,"[{'N': '1.0', 'V': '1.0', 'P': '1.0', 'F': '1.0'}]",114.9205,Cath,500.0
45-Sn @ C,"[{'Sn': '1.0'}, {'C': '1.0'}]",130.721,Anod,950.0
MnO2,"[{'Mn': '1.0', 'O': '2.0'}]",86.936,Cath,210.0
FeS2,"[{'Fe': '1.0', 'S': '2.0'}]",119.965,Cath,620.0
NH4V4O10,"[{'N': '1.0', 'H': '4.0', 'V': '4.0', 'O': '10.0'}]",381.795,Cath,412.0
CoNi2S4,"[{'Co': '1.0', 'Ni': '2.0', 'S': '4.0'}]",304.559,Anod,85.4
LCO,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,728.7
Na3V2(PO4)3 @ C,"[{'P': '3.0', 'O': '12.0', 'Na': '3.0', 'V': '2.0'}, {'C': '1.0'}]",467.774,Cath,144.0
CuSbS2,"[{'Cu': '1.0', 'Sb': '1.0', 'S': '2.0'}]",249.426,Anod,193.0
Li2S @ C,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0'}]",57.951,Cath,888.0
