Compound_name,Extracted_name,Type,Molecular_weight,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent
Cu0.02Mg0.02,"[{'Cu': '0.02', 'Mg': '0.02'}]",Cathode,0.0,0.0165350784474122,0.8212180746561886,0.829580883386069
LVP / HC-2,"[{'H': '1.0', 'C': '1.0'}]",Cathode,0.00018177075019425818,0.02250939806432044,0.8408644400785853,0.829580883386069
HHC-20,"[{'H': '2.0', 'C': '1.0'}]",Anode,0.00019804008437846135,0.09420123346721937,0.42727706344906335,0.829580883386069
Silicon monoxide,"[{'Si': '0.0', 'O': '1.0'}]",Anode,0.0002298685833975572,0.160837875348119,0.42727706344906335,0.829580883386069
LiB,"[{'Li': '1.0', 'B': '1.0'}]",Cathode,0.00025813009545761644,0.10155424222649105,0.42727706344906335,0.829580883386069
Fe2F5 Â· H2O,"[{'H': '2.0', 'O': '1.0'}]",Cathode,0.00026240725176596353,0.05828638130865173,0.42727706344906335,0.6698646445042468
"C @ N-C @ N,P-C","[{'C': '1.0'}, {'C': '1.0'}]",Cathode,0.00035936150815932494,0.02250939806432044,0.2573673870333988,0.829580883386069
CCH / C-based oxygen,"[{'C': '2.0', 'H': '1.0'}]",Cathode,0.00037563084234352816,0.8042261417843913,0.42727706344906335,0.829580883386069
CN-380,"[{'C': '1.0', 'N': '1.0'}]",Anode,0.00039157737227804476,0.015822755723857756,0.8212180746561886,0.19867145529667163
MgH2,"[{'Mg': '1.0', 'H': '2.0'}]",Anode,0.0003964678566607963,0.1447531686872122,0.004322200392927309,0.829580883386069
HN-LVP @ C,"[{'H': '1.0', 'N': '1.0'}, {'C': '1.0'}]",Cathode,0.00040784670646224787,0.029724537909355784,0.8408644400785853,0.829580883386069
HCO,"[{'H': '1.0', 'C': '1.0', 'O': '1.0'}]",Anode,0.0004399980097310303,0.11649004126876165,0.42727706344906335,0.829580883386069
Li2O,"[{'Li': '2.0', 'O': '1.0'}]",Cathode,0.0004538947326800372,0.062031820145405744,0.9390962671905696,0.829580883386069
CBC,"[{'C': '2.0', 'B': '1.0'}]",Anode,0.0005338372051149164,0.0310802488993465,0.42727706344906335,0.829580883386069
CCOâCNTs,"[{'C': '2.0', 'O': '1.0'}]",Anode,0.0006175887676960971,0.01952223825586632,0.8605108055009822,0.829580883386069
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",Anode,0.0006187992836324216,0.09282254432485593,0.01571709233791748,0.9859942576456346
Si0.71Ge0.29,"[{'Si': '0.71', 'Ge': '0.29'}]",Anode,0.000633439263366332,0.19323707019365985,0.42727706344906335,0.829580883386069
BP-C,"[{'B': '1.0', 'P': '1.0'}]",Cathode,0.0006460439623059682,0.21138981056811182,0.4479371316306482,0.9869946678138037
NCO,"[{'N': '1.0', 'C': '1.0', 'O': '1.0'}]",Anode,0.0006498046318148169,0.05996378643186059,0.5854616895874263,0.829580883386069
SiN,"[{'Si': '1.0', 'N': '1.0'}]",Anode,0.0006510151477511414,0.4319800733462623,0.42727706344906335,0.829580883386069
CP,"[{'C': '1.0', 'P': '1.0'}]",Anode,0.0006654283574996468,0.01607551539995772,0.42727706344906335,0.829580883386069
CFC,"[{'C': '2.0', 'F': '1.0'}]",Cathode,0.0006659932649365983,0.07099329957076811,0.42727706344906335,0.829580883386069
HPC / S-600,"[{'H': '1.0', 'P': '1.0', 'C': '1.0'}]",Cathode,0.0006816976916838499,0.23207014770356343,0.42727706344906335,0.829580883386069
S @ C,"[{'S': '1.0'}, {'C': '1.0'}]",Cathode,0.0006829566282576275,0.11720236399231611,0.39685658153241643,1.0
SiOâC,"[{'Si': '1.0', 'O': '1.0'}]",Anode,0.0006831664510199239,0.2534398294101967,0.5854616895874263,0.6038375734050961
NP-Si,"[{'N': '1.0', 'P': '1.0'}]",Anode,0.0006976442216183665,0.2812204156288201,0.42727706344906335,0.829580883386069
CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",Anode,0.0006982091290553182,0.013892590924548939,0.039292730844793705,0.6908732580357947
SiO1.1,"[{'Si': '1.0', 'O': '1.1'}]",Anode,0.0007089891769736011,0.18381602772084302,0.42727706344906335,0.829580883386069
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",Cathode,0.0007131226853908377,0.17416520372429892,0.7819253438113948,0.5998359327324203
NS-CO,"[{'N': '1.0', 'S': '1.0'}]",Anode,0.0007151724923763473,0.13694059688048602,0.8212180746561886,0.829580883386069
3Mn1 / 3O2,"[{'Mn': '0.3333', 'O': '2.0'}]",Cathode,0.000783636617055894,0.004816220737322952,0.9390962671905696,0.829580883386069
3Co1 / 3O2,"[{'Co': '0.3333', 'O': '2.0'}]",Cathode,0.0008051278506758957,0.03307934815577349,0.42727706344906335,0.829580883386069
NaAlH4,"[{'Na': '1.0', 'Al': '1.0', 'H': '4.0'}]",Anode,0.0008432773588644627,0.07581871156904016,0.42727706344906335,0.829580883386069
SiCN,"[{'Si': '1.0', 'C': '1.0', 'N': '1.0'}]",Anode,0.0008448752399004114,0.160837875348119,0.1728880157170923,0.829580883386069
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",Anode,0.0008770265431691938,0.29411115910991825,0.11394891944990175,0.5798277293690414
SiCO,"[{'Si': '1.0', 'C': '1.0', 'O': '1.0'}]",Anode,0.0008770265431691939,0.18381602772084302,0.19253438113948915,1.0
N-GP / CPN-S,"[{'C': '1.0', 'P': '1.0', 'N': '1.0'}]",Cathode,0.0008915043137676364,0.15785071553966487,0.42727706344906335,0.829580883386069
Li2S @ C,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0'}]",Cathode,0.0009069827775401077,0.1357916892618498,0.5068762278978388,0.829580883386069
Li4.4Si,"[{'Li': '4.4', 'Si': '1.0'}]",Anode,0.0009177967199046078,0.9650732083934594,0.42727706344906335,0.829580883386069
