Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Energy_in_Watt_hour_per_kg
Cu0.02Mg0.02,"[{'Cu': '0.02', 'Mg': '0.02'}]",-0.1260105373008806,Cathode,-0.6393393940900096,1.1820405149083577,0.21055891654958594,-0.44576984019891835
LVP / HC-2,"[{'H': '1.0', 'C': '1.0'}]",-0.1226843586636502,Cathode,-0.597644253682482,1.24991921675628,0.21055891654958594,-0.35286573480915956
"C @ N-C @ N,P-C","[{'C': '1.0'}, {'C': '1.0'}]",-0.11943466868502778,Cathode,-0.597644253682482,-0.7660782281270178,0.21055891654958594,-0.5800982466977579
CN-380,"[{'C': '1.0', 'N': '1.0'}]",-0.11884515844260932,Anode,-0.6443107377539841,1.1820405149083577,-5.680244026429256,-0.45593464231803316
MgH2,"[{'Mg': '1.0', 'H': '2.0'}]",-0.11875566866132034,Anode,0.2555024654253914,-1.6403559079282595,0.21055891654958594,-0.6611980657556414
HN-LVP @ C,"[{'H': '1.0', 'N': '1.0'}, {'C': '1.0'}]",-0.11854744986327173,Cathode,-0.5472893533441602,1.24991921675628,0.21055891654958594,-0.24745470699634242
Li2O,"[{'Li': '2.0', 'O': '1.0'}]",-0.11770482825925375,Cathode,-0.32181486329422215,1.5893127259958924,0.21055891654958594,0.3299404044671689
CCOâCNTs,"[{'C': '2.0', 'O': '1.0'}]",-0.1147094310254822,Anode,-0.6184918238862458,1.3177979186042028,0.21055891654958594,-0.3898712356114668
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",-0.11468728008951959,Anode,-0.10692452427081042,-1.6009862608564644,0.9332537141190296,-0.5046351305046983
BP-C,"[{'B': '1.0', 'P': '1.0'}]",-0.11418873635745427,Cathode,0.720563646893969,-0.10765482020216978,0.9416571419977448,0.9701199542117255
NCO,"[{'N': '1.0', 'C': '1.0', 'O': '1.0'}]",-0.11411992078306374,Anode,-0.3362477965122125,0.36749609273328776,0.21055891654958594,-0.07056216750716965
S @ C,"[{'S': '1.0'}, {'C': '1.0'}]",-0.11351328048350084,Cathode,0.06322372177683128,-0.2841394450067681,1.0509017044210325,0.13055101875185085
SiOâC,"[{'Si': '1.0', 'O': '1.0'}]",-0.113509440987934,Anode,1.0140332889931059,0.36749609273328776,-2.2768557355498964,1.9015031284132573
CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",-0.11323417869037186,Anode,-0.6577814754241084,-1.5195318186389573,-1.545757510101738,-0.6714643597545938
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",-0.11296127915931242,Cathode,0.4607708489701429,1.0462831112125126,-2.310469447064754,1.6852473536824741
NS-CO,"[{'N': '1.0', 'S': '1.0'}]",-0.11292377024108238,Anode,0.2009780510463168,1.1820405149083577,0.21055891654958594,1.2724096147740334
3Mn1 / 3O2,"[{'Mn': '0.3333', 'O': '2.0'}]",-0.11167096191695752,Cathode,-0.7211260156586216,1.5893127259958924,0.21055891654958594,-0.6031603246239216
SiCN,"[{'Si': '1.0', 'C': '1.0', 'N': '1.0'}]",-0.11055037128914112,Anode,0.3677586126764274,-1.0579566460730845,0.21055891654958594,-0.19001030300828817
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",-0.109962042429974,Anode,1.2978809756135825,-1.261592751616852,-2.4785380046390433,-0.0002985583888646522
SiCO,"[{'Si': '1.0', 'C': '1.0', 'O': '1.0'}]",-0.109962042429974,Anode,0.5281245373207645,-0.990077944225162,1.0509017044210325,-0.05729015245148982
Li2S @ C,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0'}]",-0.10941388060135242,Cathode,0.19295975481409997,0.09598128534159787,0.21055891654958594,0.5177784528434375
TiN @ CNT-S,"[{'Ti': '1.0', 'N': '1.0'}]",-0.1082552389776011,Cathode,0.22503293974296737,-1.3362593236495668,0.7147645892724539,-0.44811976757054167
Li2S / CNT / C-N / O,"[{'Li': '2.0', 'S': '1.0'}, {'O': '1.0'}]",-0.10823604149976683,Cathode,0.17050852536389277,-1.6145620012260489,0.21055891654958594,-0.6458181424264126
SiBCN / GN-ld,"[{'Si': '1.0', 'B': '1.0', 'C': '1.0', 'N': '1.0'}]",-0.10735768305239585,Anode,-0.19833310131808257,-1.0579566460730845,0.21055891654958594,-0.43804084319590475
NFS,"[{'N': '1.0', 'F': '1.0', 'S': '1.0'}]",-0.10731279048884494,Cathode,-0.6144826757701374,1.3856766204521251,0.21055891654958594,-0.37445227694383876
Polypyrrole,"[{'C': '4.0', 'H': '3.0', 'N': '1.0'}]",-0.1073098370307166,Cathode,0.8488563866094387,-1.1394110882905915,0.21055891654958594,-0.07290428781111315
