Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent
Na2FeP2O7,"[{'Na': '2.0', 'Fe': '1.0', 'P': '2.0', 'O': '7.0'}]",-0.03835468006974865,Cathode,-0.8027285225239094,0.8662381425119771,0.353956388773007
SnSe2,"[{'Sn': '1.0', 'Se': '2.0'}]",-0.03802434573613661,Anode,-0.14828180850840436,-0.05235687425008381,0.353956388773007
Li1.05Al0.02Mn1.98S3.02O3.98,"[{'Li': '1.05', 'Al': '0.02', 'Mn': '1.98', 'S': '3.02', 'O': '3.98'}]",-0.03785690425845581,Cathode,-0.7361423742955876,-0.05235687425008381,0.353956388773007
In2O3,"[{'In': '2.0', 'O': '3.0'}]",-0.037657100455540805,Anode,3.3598569724351743,-0.7872328876597325,-2.3127946541830755
Li1.05Ga0.02Mn1.98S3.02O3.98,"[{'Li': '1.05', 'Ga': '0.02', 'Mn': '1.98', 'S': '3.02', 'O': '3.98'}]",-0.0375381950089544,Cathode,-0.7570694494530601,-0.05235687425008381,0.353956388773007
Na3MnCO3PO4,"[{'Na': '3.0', 'Mn': '1.0', 'C': '1.0', 'O': '7.0', 'P': '1.0'}]",-0.03719142598298836,Cathode,-0.7528840344215656,-0.05235687425008381,0.353956388773007
NaTi3O6OHÂ·2H2O,"[{'Na': '1.0', 'Ti': '3.0', 'O': '7.0', 'H': '1.0'}]",-0.036928202462074025,Anode,-0.595360232327136,-0.05235687425008381,0.353956388773007
ZnSnS3,"[{'Zn': '1.0', 'Sn': '1.0', 'S': '3.0'}]",-0.03667541840091265,Anode,-0.6138141076932708,-0.05235687425008381,0.353956388773007
H2V3O8,"[{'H': '2.0', 'V': '3.0', 'O': '8.0'}]",-0.035720021414591095,Cathode,-0.5896528481932798,-0.05235687425008381,0.353956388773007
Zr(HPO4)2,"[{'H': '2.0', 'P': '2.0', 'O': '8.0', 'Zr': '1.0'}]",-0.03559046026229968,Anode,-0.751362065319204,-0.05235687425008381,0.353956388773007
Li5MnV2O6,"[{'Li': '5.0', 'Mn': '1.0', 'V': '2.0', 'O': '6.0'}]",-0.03397420818982985,Anode,-0.405114094531931,-0.05235687425008381,0.353956388773007
LiV3O8,"[{'Li': '1.0', 'V': '3.0', 'O': '8.0'}]",-0.03388416784946041,Cathode,-0.595360232327136,1.5000687040777991,0.8021498413706679
LiV3O8 @ GO,"[{'Li': '1.0', 'V': '3.0', 'O': '8.0'}]",-0.03388416784946041,Cathode,-0.6252288759609831,1.5000687040777991,0.8021498413706679
FeGe @ Fe2O3,"[{'Fe': '1.0', 'Ge': '1.0'}, {'Fe': '2.0', 'O': '3.0'}]",-0.03373298210196642,Anode,0.5461165944440937,-0.05235687425008381,0.353956388773007
Sb2O3,"[{'Sb': '2.0', 'O': '3.0'}]",-0.032482111120850775,Anode,1.3822483700540193,0.4069406341309466,0.6505110565751259
Sb2O3 / Ti3C2Tx,"[{'Sb': '2.0', 'O': '3.0'}]",-0.032482111120850775,Anode,-0.07789073752417854,0.4069406341309466,0.6505110565751259
