Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent
N-doped CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",0.0006982091290553182,Anode,0.30399176463018956,0.039292730844793705,0.6908732580357947
AgâFe2O3 / CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",0.0006982091290553182,Anode,0.1447531686872122,0.039292730844793705,0.6908732580357947
CNF @ Co-CoO,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",0.0006982091290553182,Cathode,0.11488157060267097,0.039292730844793705,0.6908732580357947
CNFâGN-2,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",0.0006982091290553182,Anode,0.17324607762938996,0.039292730844793705,0.6908732580357947
CNF-Bi2O3,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",0.0006982091290553182,Anode,0.10798812489085377,0.039292730844793705,0.6908732580357947
SiO1.1,"[{'Si': '1.0', 'O': '1.1'}]",0.0007089891769736011,Anode,0.18381602772084302,0.3889980353634577,0.9399753899098631
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",0.0007131226853908377,Cathode,0.17416520372429892,0.7819253438113948,0.5998359327324203
Li2S / GO,"[{'Li': '2.0', 'S': '1.0'}]",0.0007131226853908377,Cathode,0.149348799161757,0.7819253438113948,0.5998359327324203
Li2SâCNT,"[{'Li': '2.0', 'S': '1.0'}]",0.0007131226853908377,Cathode,0.1293578065974871,0.7819253438113948,0.5998359327324203
Li2S @ C-CNT,"[{'Li': '2.0', 'S': '1.0'}]",0.0007131226853908377,Cathode,0.11488157060267097,0.7819253438113948,0.5998359327324203
Li2S / GO @ C,"[{'Li': '2.0', 'S': '1.0'}]",0.0007131226853908377,Cathode,0.149348799161757,0.7819253438113948,0.5998359327324203
Li2S / rGO,"[{'Li': '2.0', 'S': '1.0'}]",0.0007131226853908377,Cathode,0.1875155102528516,0.7819253438113948,0.5998359327324203
Li2S @ CâCNT,"[{'Li': '2.0', 'S': '1.0'}]",0.0007131226853908377,Cathode,0.18496493533947922,0.7819253438113948,0.5998359327324203
Li2S-Based,"[{'Li': '2.0', 'S': '1.0'}]",0.0007131226853908377,Cathode,0.149348799161757,0.7819253438113948,0.5998359327324203
NS-CO,"[{'N': '1.0', 'S': '1.0'}]",0.0007151724923763473,Anode,0.13694059688048602,0.8212180746561886,0.9399753899098631
3Mn1 / 3O2,"[{'Mn': '0.3333', 'O': '2.0'}]",0.000783636617055894,Cathode,0.004816220737322952,0.9390962671905696,0.9399753899098631
3Co1 / 3O2,"[{'Co': '0.3333', 'O': '2.0'}]",0.0008051278506758957,Cathode,0.03307934815577349,0.3889980353634577,0.9399753899098631
NaAlH4,"[{'Na': '1.0', 'Al': '1.0', 'H': '4.0'}]",0.0008432773588644627,Anode,0.07581871156904016,0.3889980353634577,0.9399753899098631
SiCN,"[{'Si': '1.0', 'C': '1.0', 'N': '1.0'}]",0.0008448752399004114,Anode,0.160837875348119,0.1728880157170923,0.9399753899098631
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",0.0008770265431691938,Anode,0.29411115910991825,0.11394891944990175,0.5798277293690414
GNS / SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",0.0008770265431691938,Anode,0.08202281270967564,0.11394891944990175,0.5798277293690414
SiO @ C,"[{'Si': '1.0', 'O': '1.0'}, {'C': '1.0'}]",0.0008770265431691938,Anode,0.11511135212639821,0.11394891944990175,0.5798277293690414
SiOCâSe,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",0.0008770265431691938,Cathode,0.11143484774676238,0.11394891944990175,0.5798277293690414
SiCO,"[{'Si': '1.0', 'C': '1.0', 'O': '1.0'}]",0.0008770265431691939,Anode,0.18381602772084302,0.19253438113948915,1.0
SiCOâTiO2,"[{'Si': '1.0', 'C': '1.0', 'O': '1.0'}]",0.0008770265431691939,Anode,0.29640897434719066,0.19253438113948915,1.0
N-GP / CPN-S,"[{'C': '1.0', 'P': '1.0', 'N': '1.0'}]",0.0008915043137676364,Cathode,0.15785071553966487,0.3889980353634577,0.9399753899098631
Li2S @ C,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0'}]",0.0009069827775401077,Cathode,0.1357916892618498,0.5068762278978388,0.9399753899098631
Li2S / C-,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0'}]",0.0009069827775401077,Cathode,0.13785972297539498,0.5068762278978388,0.9399753899098631
Li2S / C,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0'}]",0.0009069827775401077,Cathode,0.20679418009356704,0.5068762278978388,0.9399753899098631
Li4.4Si,"[{'Li': '4.4', 'Si': '1.0'}]",0.0009177967199046078,Anode,0.9650732083934594,0.3889980353634577,0.9399753899098631
TiC / C-S,"[{'Ti': '1.0', 'C': '1.0'}]",0.0009380849669974086,Cathode,0.18864143971911507,0.3889980353634577,0.9869946678138037
TiC,"[{'Ti': '1.0', 'C': '1.0'}]",0.0009380849669974086,Cathode,0.19760291914447742,0.3889980353634577,0.9869946678138037
Carbonate,"[{'C': '1.0', 'O': '3.0'}]",0.0009401831946203714,Anode,0.04337356041875385,0.3889980353634577,0.9399753899098631
SiO2,"[{'Si': '1.0', 'O': '2.0'}]",0.000941393710556696,Anode,0.2015092050478405,0.3889980353634577,0.606838803909603
Silica,"[{'Si': '1.0', 'O': '2.0'}]",0.000941393710556696,Anode,0.45151150286307773,0.3889980353634577,0.606838803909603
N-OMC / SiO2,"[{'Si': '1.0', 'O': '2.0'}]",0.000941393710556696,Anode,0.17876083419884373,0.3889980353634577,0.606838803909603
SiO2 / N-C,"[{'Si': '1.0', 'O': '2.0'}]",0.000941393710556696,Anode,0.01138797231592202,0.3889980353634577,0.606838803909603
SiO2-2,"[{'Si': '1.0', 'O': '2.0'}]",0.000941393710556696,Cathode,0.0810347521576485,0.3889980353634577,0.606838803909603
TiN @ CNT-S,"[{'Ti': '1.0', 'N': '1.0'}]",0.0009703008311161285,Cathode,0.14038731973639462,0.09233791748526521,0.9599835932732421
TiN,"[{'Ti': '1.0', 'N': '1.0'}]",0.0009703008311161285,Cathode,0.03928344929640897,0.09233791748526521,0.9599835932732421
TiN @ Sn-120,"[{'Ti': '1.0', 'N': '1.0'}]",0.0009703008311161285,Anode,0.14153622735503082,0.09233791748526521,0.9599835932732421
Li2S / CNT / C-N / O,"[{'Li': '2.0', 'S': '1.0'}, {'O': '1.0'}]",0.0009713499449276099,Cathode,0.13257474792966847,0.01178781925343811,0.9399753899098631
Na oxide,"[{'Na': '2.0', 'O': '1.0'}]",0.0009719955534269829,Cathode,0.0034375315949595124,0.3889980353634577,0.9399753899098631
MgF2,"[{'Mg': '1.0', 'F': '2.0'}]",0.0009771927018469367,Anode,0.001139716357687111,0.3889980353634577,0.9399753899098631
P(S-DVB),"[{'S': '1.0', 'P': '1.0'}]",0.0009890234775979496,Cathode,0.18381602772084302,0.3889980353634577,0.9399753899098631
Metal oxide / sulfide / phosphide,"[{'S': '1.0'}, {'P': '1.0'}]",0.0009890234775979496,Anode,0.05743618967086094,0.3889980353634577,0.9399753899098631
TiO @ C-HS,"[{'Ti': '1.0', 'O': '1.0'}]",0.0010024521343849108,Cathode,0.252750484839015,0.3889980353634577,0.9399753899098631
LiNi0.5Co0.2Mn0.3,"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.2', 'Mn': '0.3'}]",0.0010135646706803708,Cathode,0.04594711348449894,0.3889980353634577,0.9399753899098631
SiBCN / GN-ld,"[{'Si': '1.0', 'B': '1.0', 'C': '1.0', 'N': '1.0'}]",0.001019350936856003,Anode,0.07972499747240323,0.1728880157170923,0.9399753899098631
SiBCN / GN-sp,"[{'Si': '1.0', 'B': '1.0', 'C': '1.0', 'N': '1.0'}]",0.001019350936856003,Anode,0.09220213421079237,0.1728880157170923,0.9399753899098631
SiBCN,"[{'Si': '1.0', 'B': '1.0', 'C': '1.0', 'N': '1.0'}]",0.001019350936856003,Anode,0.08386106489949356,0.1728880157170923,0.9399753899098631
NFS,"[{'N': '1.0', 'F': '1.0', 'S': '1.0'}]",0.0010218042491536208,Cathode,0.02009669206518442,0.8801571709233791,0.9399753899098631
NFS / rGO,"[{'N': '1.0', 'F': '1.0', 'S': '1.0'}]",0.0010218042491536208,Cathode,0.013777700162685319,0.8801571709233791,0.9399753899098631
Polypyrrole,"[{'C': '4.0', 'H': '3.0', 'N': '1.0'}]",0.001021965651278464,Cathode,0.22977233246629103,0.14931237721021606,0.9399753899098631
LiNi1â2xCoxMnxO2,"[{'Li': '1.0', 'Ni': '1.0'}]",0.0010309718898447193,Cathode,0.047141977407880585,0.3889980353634577,0.9399753899098631
Zn0.9Ni0.075In0.025,"[{'Zn': '0.9', 'Ni': '0.075', 'In': '0.025'}]",0.0010387429986506113,Anode,0.20679418009356704,0.3889980353634577,0.9399753899098631
ScB2,"[{'Sc': '1.0', 'B': '2.0'}]",0.0010461921102174411,Anode,0.09190341822994696,0.3889980353634577,0.9399753899098631
Si / Sn-Ni / C / Al,"[{'Si': '1.0'}, {'C': '1.0'}, {'Al': '1.0'}]",0.0010542944968845742,Anode,0.008492725116958795,0.3889980353634577,1.0
PCBN,"[{'P': '1.0', 'C': '1.0', 'B': '1.0', 'N': '1.0'}]",0.001065980010723228,Cathode,0.17508432981920788,0.3889980353634577,0.9399753899098631
LNMO / LiPON,"[{'Li': '1.0', 'P': '1.0', 'O': '1.0', 'N': '1.0'}]",0.0010678845557963786,Cathode,0.017890789437402917,0.3889980353634577,0.9399753899098631
Zn0.9Ni0.025In0.075,"[{'Zn': '0.9', 'Ni': '0.025', 'In': '0.075'}]",0.001084038083956007,Anode,0.2653884686440132,0.15324165029469544,0.9799917966366211
TiB2,"[{'Ti': '1.0', 'B': '2.0'}]",0.0010931762687593214,Anode,0.4595538561935311,0.3889980353634577,0.9399753899098631
3Co1 / 3Mn1 / 3O2,"[{'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",0.0011006686247974605,Cathode,0.024623388082611053,0.8998035363457758,0.9399753899098631
LiPS,"[{'Li': '1.0', 'P': '1.0', 'S': '1.0'}]",0.0011010365522391896,Cathode,0.048015147198044096,0.3889980353634577,0.9399753899098631
Mg0.2Co0.2Ni0.2Cu0.2Zn0.2O,"[{'Mg': '0.2', 'Co': '0.2', 'Ni': '0.2', 'Cu': '0.2', 'Zn': '0.2', 'O': '1.0'}]",0.0011042064899711116,Anode,0.11258375536539858,0.3889980353634577,0.9399753899098631
Li @ Cu,"[{'Li': '1.0'}, {'Cu': '1.0'}]",0.0011093003410311657,Anode,0.06892526585722294,0.001964636542239685,0.9329725187326804
MnO,"[{'Mn': '1.0', 'O': '1.0'}]",0.0011165795768615977,Anode,0.3035322015827351,0.19253438113948915,0.7198851529126943
MnO / CNT-based,"[{'Mn': '1.0', 'O': '1.0'}]",0.0011165795768615977,Anode,0.04295995367604482,0.19253438113948915,0.7198851529126943
MnO / carbon,"[{'Mn': '1.0', 'O': '1.0'}]",0.0011165795768615977,Anode,0.336597762847085,0.19253438113948915,0.7198851529126943
MnO / C-100,"[{'Mn': '1.0', 'O': '1.0'}]",0.0011165795768615977,Anode,0.3733857847958161,0.19253438113948915,0.7198851529126943
