Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Energy_in_Watt_hour_per_kg
Cu0.02Mg0.02,"[{'Cu': '0.02', 'Mg': '0.02'}]",0.0,Cathode,0.01636104146222068,0.8212180746561886,0.8999589831831051,0.032817000923963266
LVP / HC-2,"[{'H': '1.0', 'C': '1.0'}]",0.00018177075019425818,Cathode,0.02233641831315112,0.8408644400785853,0.8999589831831051,0.04575248654818197
"C @ N-C @ N,P-C","[{'C': '1.0'}, {'C': '1.0'}]",0.00035936150815932494,Cathode,0.02233641831315112,0.2573673870333988,0.8999589831831051,0.014113810533181151
CN-380,"[{'C': '1.0', 'N': '1.0'}]",0.00039157737227804476,Anode,0.01564859268384052,0.8212180746561886,0.19867145529667163,0.031401706614489926
MgH2,"[{'Mg': '1.0', 'H': '2.0'}]",0.0003964678566607963,Anode,0.1446018215706508,0.004322200392927309,0.8999589831831051,0.002821892494157291
HN-LVP @ C,"[{'H': '1.0', 'N': '1.0'}, {'C': '1.0'}]",0.00040784670646224787,Cathode,0.02955283497158249,0.8408644400785853,0.8999589831831051,0.06042937116147616
Li2O,"[{'Li': '2.0', 'O': '1.0'}]",0.0004538947326800372,Cathode,0.061865834403921696,0.9390962671905696,0.8999589831831051,0.1408228708081961
CCOâCNTs,"[{'C': '2.0', 'O': '1.0'}]",0.0006175887676960971,Anode,0.019348729887685902,0.8605108055009822,0.8999589831831051,0.04060003261046797
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",0.0006187992836324216,Anode,0.09266200740487085,0.01571709233791748,0.9859942576456346,0.024620903309962496
BP-C,"[{'B': '1.0', 'P': '1.0'}]",0.0006460439623059682,Cathode,0.21125025567718259,0.4479371316306482,0.9869946678138037,0.22995814989945104
NCO,"[{'N': '1.0', 'C': '1.0', 'O': '1.0'}]",0.0006498046318148169,Anode,0.05979743472475347,0.5854616895874263,0.8999589831831051,0.08505897059622805
S @ C,"[{'S': '1.0'}, {'C': '1.0'}]",0.0006829566282576275,Cathode,0.11704614140039853,0.39685658153241643,1.0,0.11306092722430566
SiOâC,"[{'Si': '1.0', 'O': '1.0'}]",0.0006831664510199239,Anode,0.2533077158202699,0.5854616895874263,0.6038375734050961,0.3596391108212402
CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",0.0006982091290553182,Anode,0.013718086316616834,0.039292730844793705,0.6908732580357947,0.0013924669819011903
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",0.0007131226853908377,Cathode,0.17401906145215448,0.7819253438113948,0.5998359327324203,0.32952877873797487
NS-CO,"[{'N': '1.0', 'S': '1.0'}]",0.0007151724923763473,Anode,0.13678786722712638,0.8212180746561886,0.8999589831831051,0.2720473938801022
3Mn1 / 3O2,"[{'Mn': '0.3333', 'O': '2.0'}]",0.000783636617055894,Cathode,0.004640109946934057,0.9390962671905696,0.8999589831831051,0.010902766454698624
SiCN,"[{'Si': '1.0', 'C': '1.0', 'N': '1.0'}]",0.0008448752399004114,Anode,0.16068937463084812,0.1728880157170923,0.8999589831831051,0.06842763193651828
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",0.0008770265431691938,Anode,0.29398624284391167,0.11394891944990175,0.5798277293690414,0.09484211098429261
SiCO,"[{'Si': '1.0', 'C': '1.0', 'O': '1.0'}]",0.0008770265431691939,Anode,0.18367159328827287,0.19253438113948915,1.0,0.08690689711397358
Li2S @ C,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0'}]",0.0009069827775401077,Cathode,0.13563875629425515,0.5068762278978388,0.8999589831831051,0.1669764661122887
TiN @ CNT-S,"[{'Ti': '1.0', 'N': '1.0'}]",0.0009703008311161285,Cathode,0.14023520002574008,0.09233791748526521,0.9599835932732421,0.032489809228762434
Li2S / CNT / C-N / O,"[{'Li': '2.0', 'S': '1.0'}, {'O': '1.0'}]",0.0009713499449276099,Cathode,0.13242124568221567,0.01178781925343811,0.8999589831831051,0.004963313223544757
SiBCN / GN-ld,"[{'Si': '1.0', 'B': '1.0', 'C': '1.0', 'N': '1.0'}]",0.001019350936856003,Anode,0.07956214277013875,0.1728880157170923,0.8999589831831051,0.03389314636665036
NFS,"[{'N': '1.0', 'F': '1.0', 'S': '1.0'}]",0.0010218042491536208,Cathode,0.01992328535412152,0.8801571709233791,0.8999589831831051,0.042746888417848794
Polypyrrole,"[{'C': '4.0', 'H': '3.0', 'N': '1.0'}]",0.001021965651278464,Cathode,0.22963603060312238,0.14931237721021606,0.8999589831831051,0.08473286591662589
Zn0.9Ni0.025In0.075,"[{'Zn': '0.9', 'Ni': '0.025', 'In': '0.075'}]",0.001084038083956007,Anode,0.2652584695221307,0.15324165029469544,0.9799917966366211,0.10038589053752921
3Co1 / 3Mn1 / 3O2,"[{'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",0.0011006686247974605,Cathode,0.024450782429634197,0.8998035363457758,0.8999589831831051,0.053548562421870755
Li @ Cu,"[{'Li': '1.0'}, {'Cu': '1.0'}]",0.0011093003410311657,Anode,0.06876050000114911,0.001964636542239685,0.9329725187326804,0.0009239632588727648
MnO,"[{'Mn': '1.0', 'O': '1.0'}]",0.0011165795768615977,Anode,0.30340895249345584,0.19253438113948915,0.7198851529126943,0.1435404098048807
NiO,"[{'Ni': '1.0', 'O': '1.0'}]",0.0011771860747402513,Anode,0.27996708946288257,0.742632612966601,1.0,0.001032664818740149
CoO,"[{'Co': '1.0', 'O': '1.0'}]",0.0011810597257364904,Anode,0.16413670742946185,0.11787819253438112,0.7378925359397353,0.04813305070927768
PNP @ CNTs,"[{'P': '2.0', 'N': '1.0'}]",0.0011975711631079583,Anode,0.0285416173506558,0.5854616895874263,1.0,0.040708734170335346
Mg2Si,"[{'Mg': '2.0', 'Si': '1.0'}]",0.0012095149203463613,Anode,0.2045854122665294,0.5854616895874263,0.6198441360957994,0.290504918745584
LiC6,"[{'Li': '1.0', 'C': '6.0'}]",0.0012468149513976446,Anode,0.045778281343724365,0.2907662082514734,0.7498974579577627,0.032556117180281535
CuO-CF,"[{'Cu': '1.0', 'O': '1.0'}]",0.0012555145259266977,Anode,0.03479278082547533,0.27111984282907653,0.9899958983183106,0.08690689711397358
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",0.0012606793939216828,Anode,0.027162684231210318,0.07072691552062868,0.9699876949549315,0.047774335561715314
ZnO,"[{'Zn': '1.0', 'O': '1.0'}]",0.001285115675622956,Anode,0.34546641263654315,0.3176817288801571,0.6998769495493152,0.26757410728843956
VO2,"[{'V': '1.0', 'O': '2.0'}]",0.001310302477204751,Anode,0.05382205787382303,0.055009823182711186,0.34973339069018294,0.007609109190716886
MnO / C,"[{'Mn': '1.0', 'O': '1.0'}, {'C': '1.0'}]",0.0013104396690108676,Anode,0.17815586081049092,0.0943025540275049,0.6918736682039637,0.043100168487417795
Li1.231Mn0.615Ni0.154O2,"[{'Li': '1.231', 'Mn': '0.615', 'Ni': '0.154', 'O': '2.0'}]",0.0013171980924648555,Cathode,0.04118183761223942,0.9390962671905696,0.8999589831831051,0.09842926245991629
AlF3,"[{'Al': '1.0', 'F': '3.0'}]",0.0013270318074447575,Cathode,0.25698487080545784,0.4459724950884085,0.9809922068047899,0.2784944833958367
Li1.2Ni0.2Mn0.6O2,"[{'Li': '1.2', 'Ni': '0.2', 'Mn': '0.6', 'O': '2.0'}]",0.0013440016268507805,Cathode,0.03697609159793069,0.8801571709233791,0.6588601326543884,0.07904233925756833
Li1.2Mn0.56Ni0.16Co0.08O2,"[{'Li': '1.2', 'Mn': '0.56', 'Ni': '0.16', 'Co': '0.08', 'O': '2.0'}]",0.001346735778845626,Cathode,0.0400557088980256,0.9390962671905696,0.9169659560419773,0.09130713625740527
Li1.2Ni0.15Mn0.55Co0.1O2,"[{'Li': '1.2', 'Ni': '0.15', 'Mn': '0.55', 'Co': '0.1', 'O': '2.0'}]",0.0013474193168443373,Cathode,0.05313259131410029,0.9390962671905696,0.8499384747746577,0.12099570628838521
Li1.2Mn0.54Ni0.13Co0.13O2,"[{'Li': '1.2', 'Mn': '0.54', 'Ni': '0.13', 'Co': '0.13', 'O': '2.0'}]",0.0013481415913530108,Cathode,0.0023418880811915824,0.3398821218074655,0.8609429866245161,0.0020381542475134515
Li1.2Mn0.4Co0.4O2,"[{'Li': '1.2', 'Mn': '0.4', 'Co': '0.4', 'O': '2.0'}]",0.0013576723868250068,Cathode,0.04462917041085313,0.8998035363457758,0.8999589831831051,0.09745094842110982
MnP,"[{'Mn': '1.0', 'P': '1.0'}]",0.0013582792588144176,Anode,0.1997591463484702,0.3889980353634577,0.7879130443481828,0.18908636338931464
3Mn0.8Fe0.1Ti0.1O2,"[{'Mn': '0.8', 'Fe': '0.1', 'Ti': '0.1', 'O': '2.0'}]",0.0013648580094230299,Cathode,0.032945010445418386,0.7819253438113948,0.8999589831831051,0.06262731670199466
Li1.17Ni0.25Mn0.58O2,"[{'Li': '1.17', 'Ni': '0.25', 'Mn': '0.58', 'O': '2.0'}]",0.0013702728893093972,Cathode,0.05726939067243674,0.8998035363457758,0.8999589831831051,0.124952443067558
NiO / C,"[{'Ni': '1.0', 'O': '1.0'}, {'C': '1.0'}]",0.0013710461668895212,Anode,0.13770715597342337,0.5854616895874263,0.8999589831831051,0.19560845698135768
