Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Conductivity_in_Siemens_per_cm,Energy_in_Watt_hour_per_kg
SiC,"[{'Si': '1.0', 'C': '1.0'}]",40.096,Anod,309.0,1.5,90.8,,227.0
SiC,"[{'Si': '1.0', 'C': '1.0'}]",40.096,Anod,309.0,1.5,99.0,,227.0
SiC,"[{'Si': '1.0', 'C': '1.0'}]",40.096,Anod,309.0,1.5,47.6,,227.0
Si / PANi / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,1470.0,0.1,98.6,,227.0
Si / PANi / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,1470.0,0.1,90.8,,227.0
Si / PANi / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,1470.0,0.1,99.0,,227.0
Si / PANi / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,1470.0,0.1,47.6,,227.0
Si / PANi / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,1470.0,1.5,98.6,,227.0
Si / PANi / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,1470.0,1.5,90.8,,227.0
Si / PANi / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,1470.0,1.5,99.0,,227.0
Si / PANi / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,1470.0,1.5,47.6,,227.0
,,40.989,,,0.65,,,
,,40.989,,,1.2,,,
Si0.71Ge0.29,"[{'Si': '0.71', 'Ge': '0.29'}]",41.00305,Anod,841.0,,,,
BP-C,"[{'B': '1.0', 'P': '1.0'}]",41.784,Cath,920.0,2.3,98.7,,
BP-Al,"[{'B': '1.0', 'P': '1.0'}]",41.784,Cath,820.0,2.3,98.7,,
NCO,"[{'N': '1.0', 'C': '1.0', 'O': '1.0'}]",42.017,Anod,261.0,3.0,,,
NCO / N-rGO,"[{'N': '1.0', 'C': '1.0', 'O': '1.0'}]",42.017,Cath,712.0,3.0,,,
SiN,"[{'Si': '1.0', 'N': '1.0'}]",42.092,Anod,1880.0,,,,
CP,"[{'C': '1.0', 'P': '1.0'}]",42.985,Anod,70.0,,,,
CFC,"[{'C': '2.0', 'F': '1.0'}]",43.02,Cath,309.0,,,,
HPC / S-600,"[{'H': '1.0', 'P': '1.0', 'C': '1.0'}]",43.993,Cath,1010.0,,,,
HPC @ S-PANi,"[{'H': '1.0', 'P': '1.0', 'C': '1.0'}]",43.993,Cath,494.5,,,,
HPC,"[{'H': '1.0', 'P': '1.0', 'C': '1.0'}]",43.993,Cath,1660.0,,,,
S @ C,"[{'S': '1.0'}, {'C': '1.0'}]",44.071,Cath,510.1,2.04,100.0,,
S @ C,"[{'S': '1.0'}, {'C': '1.0'}]",44.071,Cath,510.1,1.8,100.0,,
S / C,"[{'S': '1.0'}, {'C': '1.0'}]",44.071,Cath,1000.0,2.04,100.0,,
S / C,"[{'S': '1.0'}, {'C': '1.0'}]",44.071,Cath,1000.0,1.8,100.0,,
SiOâC,"[{'Si': '1.0', 'O': '1.0'}]",44.084,Anod,1103.0,3.0,60.4,,
SiOâC,"[{'Si': '1.0', 'O': '1.0'}]",44.084,Anod,1103.0,3.0,60.4,,
SiO,"[{'Si': '1.0', 'O': '1.0'}]",44.084,Anod,1100.0,3.0,60.4,,
SiO,"[{'Si': '1.0', 'O': '1.0'}]",44.084,Anod,1100.0,3.0,60.4,,
SiO-C,"[{'Si': '1.0', 'O': '1.0'}]",44.084,Anod,1500.0,3.0,60.4,,
SiO-C,"[{'Si': '1.0', 'O': '1.0'}]",44.084,Anod,1500.0,3.0,60.4,,
NP-Si,"[{'N': '1.0', 'P': '1.0'}]",44.981,Anod,1223.9,,,,
CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anod,60.5,0.22,69.1,,
CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anod,60.5,0.324,69.1,,
CNFâSiO2,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anod,484.0,0.22,69.1,,
CNFâSiO2,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anod,484.0,0.324,69.1,,
N-doped CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anod,1323.0,0.22,69.1,,
N-doped CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anod,1323.0,0.324,69.1,,
AgâFe2O3 / CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anod,630.0,0.22,69.1,,
AgâFe2O3 / CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anod,630.0,0.324,69.1,,
CNF @ Co-CoO,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Cath,500.0,0.22,69.1,,
CNF @ Co-CoO,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Cath,500.0,0.324,69.1,,
CNFâGN-2,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anod,754.0,0.22,69.1,,
CNFâGN-2,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anod,754.0,0.324,69.1,,
