Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Conductivity_in_Siemens_per_cm
ScB2,"[{'Sc': '1.0', 'B': '2.0'}]",66.57600000000001,Anod,400.0,,,
Si / Sn-Ni / C / Al,"[{'Si': '1.0'}, {'C': '1.0'}, {'Al': '1.0'}]",67.078,Anod,37.0,,100.0,
PCBN,"[{'P': '1.0', 'C': '1.0', 'B': '1.0', 'N': '1.0'}]",67.802,Cath,762.0,,,
LNMO / LiPON,"[{'Li': '1.0', 'P': '1.0', 'O': '1.0', 'N': '1.0'}]",67.92,Cath,77.9,,,
Zn0.9Ni0.025In0.075,"[{'Zn': '0.9', 'Ni': '0.025', 'In': '0.075'}]",68.92082500000001,Anod,1155.0,0.8,98.0,
TiB2,"[{'Ti': '1.0', 'B': '2.0'}]",69.487,Anod,2000.0,,,
3Co1 / 3Mn1 / 3O2,"[{'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",69.9512043,Cath,107.2,4.6,,
LiPS,"[{'Li': '1.0', 'P': '1.0', 'S': '1.0'}]",69.974,Cath,209.0,,,
Mg0.2Co0.2Ni0.2Cu0.2Zn0.2O,"[{'Mg': '0.2', 'Co': '0.2', 'Ni': '0.2', 'Cu': '0.2', 'Zn': '0.2', 'O': '1.0'}]",70.1704,Anod,490.0,,,
Li @ Cu,"[{'Li': '1.0'}, {'Cu': '1.0'}]",70.486,Anod,300.0,0.03,93.3,
MnO,"[{'Mn': '1.0', 'O': '1.0'}]",70.937,Anod,1321.0,1.0,72.0,1e-08
Co @ C,"[{'Co': '1.0'}, {'C': '1.0'}]",70.944,Anod,232.0,,,
,,71.158,,,3.5,,
Mn0.9Co0.1O / CNT,"[{'Mn': '0.9', 'Co': '0.1', 'O': '1.0'}]",71.3365,Anod,500.0,,98.5,
,,71.736,,,,71.0,
SiO2 / C / CNTs,"[{'Si': '1.0', 'O': '2.0'}, {'C': '1.0'}]",72.094,Anod,386.5,,,
VB2,"[{'V': '1.0', 'B': '2.0'}]",72.5615,Anod,4060.0,,82.0,
,,72.8608,,,3.0,,
,,72.94,,,1.51,,
Si / CNF,"[{'Si': '1.0'}, {'C': '1.0', 'N': '1.0', 'F': '1.0'}]",73.101,Anod,2000.0,,,
NiO,"[{'Ni': '1.0', 'O': '1.0'}]",74.692,Anod,1219.0,3.8,100.0,0.01
CoO,"[{'Co': '1.0', 'O': '1.0'}]",74.932,Anod,715.0,0.62,73.8,
Glycine,"[{'N': '1.0', 'H': '5.0', 'C': '2.0', 'O': '2.0'}]",75.06700000000001,Cath,120.0,,,
,,75.557,,,0.71,,
Ni0.8Co0.1Mn0.1O1.1,"[{'Ni': '0.8', 'Co': '0.1', 'Mn': '0.1', 'O': '1.1'}]",75.94040000000001,Anod,750.0,,,
PNP @ CNTs,"[{'P': '2.0', 'N': '1.0'}]",75.955,Anod,125.0,3.0,100.0,
PCNF,"[{'P': '1.0', 'C': '1.0', 'N': '1.0', 'F': '1.0'}]",75.99,Anod,201.8,,44.0,
S / HPC,"[{'S': '1.0'}, {'H': '1.0', 'P': '1.0', 'C': '1.0'}]",76.053,Cath,1377.0,,100.0,
,,76.131,,,0.05,,
Mg2Si,"[{'Mg': '2.0', 'Si': '1.0'}]",76.695,Anod,891.0,3.0,62.0,
,,76.95400000000001,,,0.5,,
CVO,"[{'C': '1.0', 'V': '1.0', 'O': '1.0'}]",78.9515,Anod,1041.0,,,
LiC6,"[{'Li': '1.0', 'C': '6.0'}]",79.006,Anod,200.0,1.5,75.0,
LFS / FSO / C,"[{'F': '1.0', 'S': '1.0', 'O': '1.0'}, {'C': '1.0'}]",79.068,Cath,74.0,,,
,,79.1824,,,4.5,,
CuO-CF,"[{'Cu': '1.0', 'O': '1.0'}]",79.545,Anod,152.2,1.4,99.0,
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,119.0,0.38,97.0,1e-12
Li1.27Cr0.2Mn0.53O2,"[{'Li': '1.27', 'Cr': '0.2', 'Mn': '0.53', 'O': '2.0'}]",80.32814,Cath,280.0,,,
Zn0.91Co0.09O,"[{'Zn': '0.91', 'Co': '0.09', 'O': '1.0'}]",80.79876999999999,Anod,1000.0,,,
,,80.882,,,3.66,,
,,80.94749999999999,,,3.0,,
ZnO,"[{'Zn': '1.0', 'O': '1.0'}]",81.37899999999999,Anod,1504.0,1.637,70.0,
,,81.59606000000001,,,4.8,,
VO2,"[{'V': '1.0', 'O': '2.0'}]",82.9395,Anod,235.0,0.3,35.0,0.00131
MnO / C,"[{'Mn': '1.0', 'O': '1.0'}, {'C': '1.0'}]",82.948,Anod,776.0,0.5,69.2,
Li1.23Mn0.46Fe0.15Ni0.15O2,"[{'Li': '1.23', 'Mn': '0.46', 'Fe': '0.15', 'Ni': '0.15', 'O': '2.0'}]",82.98638000000001,Cath,255.0,,,
Li1.2Cr0.4Mn0.4O2,"[{'Li': '1.2', 'Cr': '0.4', 'Mn': '0.4', 'O': '2.0'}]",83.09960000000001,Cath,150.0,,,
Si / B4C / graphite,"[{'Si': '1.0'}, {'B': '4.0', 'C': '1.0'}]",83.336,Anod,822.0,,,
Li1.231Mn0.615Ni0.154O2,"[{'Li': '1.231', 'Mn': '0.615', 'Ni': '0.154', 'O': '2.0'}]",83.366732,Cath,180.0,4.8,,
,,83.88674999999999,,,1.4,,
FeSi,"[{'Fe': '1.0', 'Si': '1.0'}]",83.93,Anod,500.0,,,
AlF3,"[{'Al': '1.0', 'F': '3.0'}]",83.976,Cath,1119.0,2.29,98.1,
Ge @ C,"[{'Ge': '1.0'}, {'C': '1.0'}]",84.64099999999999,Anod,1163.9,,99.0,
