Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Energy_in_Watt_hour_per_kg
Cu0.02Mg0.02,"[{'Cu': '0.02', 'Mg': '0.02'}]",1.75702,Cathode,72.0,4.2,90.0,302.40000000000003
LVP / HC-2,"[{'H': '1.0', 'C': '1.0'}]",13.018999999999998,Cathode,98.0,4.3,90.0,421.4
"C @ N-C @ N,P-C","[{'C': '1.0'}, {'C': '1.0'}]",24.022,Cathode,98.0,1.33,90.0,130.34
CN-380,"[{'C': '1.0', 'N': '1.0'}]",26.018,Anode,68.9,4.2,19.9,289.38000000000005
MgH2,"[{'Mg': '1.0', 'H': '2.0'}]",26.321,Anode,630.0,0.042,90.0,26.46
HN-LVP @ C,"[{'H': '1.0', 'N': '1.0'}, {'C': '1.0'}]",27.026,Cathode,129.4,4.3,90.0,556.42
Li2O,"[{'Li': '2.0', 'O': '1.0'}]",29.879,Cathode,270.0,4.8,90.0,1296.0
CCOâCNTs,"[{'C': '2.0', 'O': '1.0'}]",40.021,Anode,85.0,4.4,90.0,374.00000000000006
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anode,404.0,0.1,98.6,227.0
BP-C,"[{'B': '1.0', 'P': '1.0'}]",41.784,Cathode,920.0,2.3,98.7,2116.0
NCO,"[{'N': '1.0', 'C': '1.0', 'O': '1.0'}]",42.017,Anode,261.0,3.0,90.0,783.0
S @ C,"[{'S': '1.0'}, {'C': '1.0'}]",44.071,Cathode,510.1,2.04,100.0,1040.604
SiOâC,"[{'Si': '1.0', 'O': '1.0'}]",44.084,Anode,1103.0,3.0,60.4,3309.0
CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anode,60.5,0.22,69.1,13.31
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cathode,758.0,4.0,60.0,3032.0
NS-CO,"[{'N': '1.0', 'S': '1.0'}]",46.067,Anode,596.0,4.2,90.0,2503.2000000000003
3Mn1 / 3O2,"[{'Mn': '0.3333', 'O': '2.0'}]",50.3088354,Cathode,21.0,4.8,90.0,100.8
SiCN,"[{'Si': '1.0', 'C': '1.0', 'N': '1.0'}]",54.103,Anode,700.0,0.9,90.0,630.0
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anode,1280.0,0.6,58.0,873.0
SiCO,"[{'Si': '1.0', 'C': '1.0', 'O': '1.0'}]",56.095000000000006,Anode,800.0,1.0,100.0,800.0
Li2S @ C,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0'}]",57.95100000000001,Cathode,591.0,2.6,90.0,1536.6000000000001
TiN @ CNT-S,"[{'Ti': '1.0', 'N': '1.0'}]",61.874,Cathode,611.0,0.49,96.0,299.39
Li2S / CNT / C-N / O,"[{'Li': '2.0', 'S': '1.0'}, {'O': '1.0'}]",61.93900000000001,Cathode,577.0,0.08,90.0,46.160000000000004
SiBCN / GN-ld,"[{'Si': '1.0', 'B': '1.0', 'C': '1.0', 'N': '1.0'}]",64.91300000000001,Anode,347.0,0.9,90.0,312.3
NFS,"[{'N': '1.0', 'F': '1.0', 'S': '1.0'}]",65.065,Cathode,87.5,4.5,90.0,393.75
Polypyrrole,"[{'C': '4.0', 'H': '3.0', 'N': '1.0'}]",65.075,Cathode,1000.0,0.78,90.0,780.0
Zn0.9Ni0.025In0.075,"[{'Zn': '0.9', 'Ni': '0.025', 'In': '0.075'}]",68.92082500000001,Anode,1155.0,0.8,98.0,924.0
3Co1 / 3Mn1 / 3O2,"[{'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",69.9512043,Cathode,107.2,4.6,90.0,493.11999999999995
Li @ Cu,"[{'Li': '1.0'}, {'Cu': '1.0'}]",70.486,Anode,300.0,0.03,93.3,9.0
MnO,"[{'Mn': '1.0', 'O': '1.0'}]",70.937,Anode,1321.0,1.0,72.0,1321.0
NiO,"[{'Ni': '1.0', 'O': '1.0'}]",74.692,Anode,1219.0,3.8,100.0,10.0
