Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent
CoO,"[{'Co': '1.0', 'O': '1.0'}]",74.932,Anode,715.0,0.62,73.8
Glycine,"[{'N': '1.0', 'H': '5.0', 'C': '2.0', 'O': '2.0'}]",75.06700000000001,Cathode,120.0,2.194840252955733,82.96507552238806
Ni0.8Co0.1Mn0.1O1.1,"[{'Ni': '0.8', 'Co': '0.1', 'Mn': '0.1', 'O': '1.1'}]",75.94040000000001,Anode,750.0,2.194840252955733,82.96507552238806
PNP @ CNTs,"[{'P': '2.0', 'N': '1.0'}]",75.955,Anode,125.0,3.0,100.0
PCNF,"[{'P': '1.0', 'C': '1.0', 'N': '1.0', 'F': '1.0'}]",75.99,Anode,201.8,2.194840252955733,44.0
S / HPC,"[{'S': '1.0'}, {'H': '1.0', 'P': '1.0', 'C': '1.0'}]",76.053,Cathode,1377.0,2.194840252955733,100.0
Mg2Si,"[{'Mg': '2.0', 'Si': '1.0'}]",76.695,Anode,891.0,3.0,62.0
CVO,"[{'C': '1.0', 'V': '1.0', 'O': '1.0'}]",78.9515,Anode,1041.0,2.194840252955733,82.96507552238806
LiC6,"[{'Li': '1.0', 'C': '6.0'}]",79.006,Anode,200.0,1.5,75.0
LFS / FSO / C,"[{'F': '1.0', 'S': '1.0', 'O': '1.0'}, {'C': '1.0'}]",79.068,Cathode,74.0,2.194840252955733,82.96507552238806
CuO-CF,"[{'Cu': '1.0', 'O': '1.0'}]",79.545,Anode,152.2,1.4,99.0
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anode,119.0,0.38,97.0
Li1.27Cr0.2Mn0.53O2,"[{'Li': '1.27', 'Cr': '0.2', 'Mn': '0.53', 'O': '2.0'}]",80.32814,Cathode,280.0,2.194840252955733,82.96507552238806
Zn0.91Co0.09O,"[{'Zn': '0.91', 'Co': '0.09', 'O': '1.0'}]",80.79876999999999,Anode,1000.0,2.194840252955733,82.96507552238806
ZnO,"[{'Zn': '1.0', 'O': '1.0'}]",81.37899999999999,Anode,1504.0,1.637,70.0
VO2,"[{'V': '1.0', 'O': '2.0'}]",82.9395,Anode,235.0,0.3,35.0
MnO / C,"[{'Mn': '1.0', 'O': '1.0'}, {'C': '1.0'}]",82.948,Anode,776.0,0.5,69.2
